,date,day,contest_number,word,results_count,hard_count,hard_rate,try_1,try_2,try_3,try_4,try_5,try_6,try_fail,success_rate,total,mean_tries,repeat_letters,rare_letters,vowels,freq_score,sd_tries,word_freq
17,2022-01-24,Monday,219,knoll,258038,8317,0.0322316868058192,1,1,11,29,33,21,4,96,100,4.614583333333333,1,0,1,472,1.0445273219925313,965905
18,2022-01-25,Tuesday,220,sugar,276404,8708,0.0315046091952359,1,6,25,34,23,9,1,98,99,4.010204081632653,0,0,2,487,1.0925993903249454,22450333
19,2022-01-26,Wednesday,221,whack,302348,10163,0.0336135843465146,1,4,22,37,24,10,2,98,100,4.112244897959184,0,0,1,360,1.0583261048025898,725891
20,2022-01-27,Thursday,222,mount,331844,11451,0.034507178071624,1,9,29,33,19,7,1,98,99,3.826530612244898,0,0,2,460,1.0975437344647776,36648260
21,2022-01-28,Friday,223,perky,296968,11148,0.0375393981843161,1,4,17,30,27,17,4,96,100,4.34375,0,1,1,466,1.1440800980846286,1360009
22,2022-01-29,Saturday,224,could,313220,11592,0.0370091309622629,1,7,29,35,20,8,1,100,101,3.9,0,0,2,428,1.0816653826391966,302311431
23,2022-01-30,Sunday,225,wrung,294687,11524,0.0391058988011008,0,2,18,39,27,12,2,98,100,4.295918367346939,0,0,1,359,0.9711048165696026,121159
24,2022-01-31,Monday,226,light,341314,13347,0.0391047539802059,1,10,25,27,19,12,5,94,99,3.9468085106382977,0,0,1,458,1.223589255207598,126699632
25,2022-02-01,Tuesday,227,those,351663,13606,0.0386904508009088,1,13,34,30,15,6,1,99,100,3.636363636363636,0,0,2,593,1.1051262138673013,270014141
26,2022-02-02,Wednesday,228,moist,361908,14205,0.039250306707782,3,13,32,29,16,7,1,100,101,3.63,0,0,2,498,1.1887388274974449,2140516
27,2022-02-03,Thursday,229,shard,358176,14609,0.0407872107567229,1,7,22,28,25,14,4,97,101,4.144329896907217,0,0,1,494,1.192672566101408,287428
28,2022-02-04,Friday,230,pleat,359679,14813,0.0411839445727996,1,10,28,31,19,9,2,98,100,3.857142857142857,0,0,2,638,1.1517511068997928,266830
29,2022-02-05,Saturday,231,aloft,319698,13708,0.0428779660804884,1,4,22,36,25,11,2,99,101,4.141414141414141,0,0,2,560,1.0731818169934082,497342
30,2022-02-06,Sunday,232,skill,311018,13716,0.0441003414593367,1,3,17,33,27,16,3,97,100,4.34020618556701,1,0,1,442,1.101887770382465,15835076
31,2022-02-07,Monday,233,elder,288228,13340,0.0462828038913637,1,3,13,24,30,24,5,95,100,4.589473684210526,1,0,2,657,1.1561709657049248,7299470
32,2022-02-08,Tuesday,234,frame,336236,15369,0.0457089663212743,1,10,20,24,24,17,3,96,99,4.15625,0,0,2,556,1.2855618502558845,46079991
33,2022-02-09,Wednesday,235,humor,305372,13846,0.045341419645547,1,5,22,34,25,11,2,98,100,4.122448979591836,0,0,2,447,1.0997709049230595,18085495
34,2022-02-10,Thursday,236,pause,304830,13480,0.0442213692877997,1,8,26,32,21,10,2,98,100,3.959183673469388,0,0,3,547,1.1421280473169977,4606318
35,2022-02-11,Friday,237,ulcer,278826,10631,0.038127721231162,1,4,18,30,28,16,3,97,100,4.319587628865979,0,0,2,556,1.1356127530084403,1336605
36,2022-02-12,Saturday,238,ultra,269885,9310,0.0344961742964596,1,7,23,34,24,10,1,99,100,4.040404040404041,0,0,2,590,1.1184331745993057,21795075
37,2022-02-14,Monday,240,cynic,261521,10343,0.039549405210289,1,6,25,33,22,11,2,98,100,4.040816326530612,1,1,1,382,1.1241174982792173,525906
38,2022-02-15,Tuesday,241,aroma,287836,10343,0.0359336566656012,1,6,25,33,22,11,2,98,100,4.040816326530612,1,0,3,630,1.1241174982792173,2018777
39,2022-02-16,Wednesday,242,caulk,289721,10740,0.0370701467964006,1,4,20,31,26,15,3,97,100,4.257731958762887,0,0,2,436,1.1331768182193684,245944
40,2022-02-17,Thursday,243,shake,342003,12767,0.0373300818998663,1,6,16,23,24,21,9,91,100,4.384615384615385,0,0,2,526,1.2559242537636914,6839319
41,2022-02-18,Friday,244,dodge,265238,10220,0.0385314321477314,1,3,15,29,27,19,7,94,101,4.4361702127659575,1,0,2,469,1.1351118666241748,14768509
42,2022-02-19,Saturday,245,swill,282327,11241,0.0398155330520991,1,1,8,19,31,30,10,90,100,4.866666666666666,1,0,1,437,1.0770329614269007,92032
43,2022-02-20,Sunday,246,tacit,273306,11094,0.0405918640644552,1,4,21,32,26,14,3,98,101,4.224489795918367,1,0,2,583,1.1205921561871302,594255
44,2022-02-21,Monday,247,other,278731,10887,0.0390591645708586,1,9,26,30,21,10,2,97,99,3.938144329896907,0,0,2,639,1.1649028364392193,978481319
45,2022-02-22,Tuesday,248,thorn,306356,11814,0.0385629790178746,1,14,38,30,12,4,0,99,99,3.505050505050505,0,0,1,542,1.0383916990623352,1421673
46,2022-02-23,Wednesday,249,trove,277576,11411,0.0411094619131337,1,5,16,24,25,22,8,93,101,4.43010752688172,0,0,2,596,1.230419540848765,702353
47,2022-02-24,Thursday,250,bloke,250674,10405,0.0415080941780958,1,6,21,32,25,12,2,97,99,4.134020618556701,0,0,2,487,1.136361220878794,766763
48,2022-02-25,Friday,251,vivid,255907,11687,0.0456689344175813,1,2,10,29,33,21,4,96,100,4.604166666666667,2,0,2,303,1.0653556396287998,4479514
49,2022-02-26,Saturday,252,spill,248363,10087,0.0406139400796414,1,5,26,34,22,10,2,98,100,4.030612244897959,1,0,1,468,1.0922181290762003,3890646
50,2022-02-27,Sunday,253,chant,250413,10438,0.0416831394536226,1,9,33,33,16,7,1,99,100,3.757575757575758,0,0,1,507,1.083306844346635,1374428
51,2022-02-28,Monday,254,choke,251094,10521,0.0419006427871633,1,8,30,36,18,6,1,99,100,3.808080808080808,0,0,2,485,1.0509905637955204,1448146
52,2022-03-01,Tuesday,255,rupee,240137,10577,0.0440456905849577,1,2,17,35,30,13,2,98,100,4.326530612244898,1,0,3,617,1.0378107865380506,2831536
53,2022-03-02,Wednesday,256,nasty,257304,10813,0.0420242203774523,1,7,26,31,21,11,2,97,99,4.0,0,1,1,512,1.1487330537883809,7434847
54,2022-03-03,Thursday,257,mourn,240018,10465,0.0436008965994217,1,8,29,34,19,8,1,99,100,3.868686868686869,0,0,2,463,1.0977153928805785,779010
55,2022-03-04,Friday,258,ahead,203730,9396,0.0461198645265793,1,5,20,35,26,12,2,99,101,4.171717171717172,1,0,3,616,1.101334397611233,28375319
56,2022-03-05,Saturday,259,brine,229895,10405,0.0452597925139737,1,9,25,29,22,12,3,98,101,4.0,0,0,2,525,1.1952286093343936,816003
57,2022-03-06,Sunday,260,cloth,218595,9911,0.0453395548846039,1,8,33,34,17,7,1,100,101,3.79,0,0,1,508,1.070467187726929,9764137
58,2022-03-07,Monday,261,hoard,218595,9823,0.0449369839200347,1,9,30,34,19,7,1,100,101,3.82,0,0,2,540,1.0897706180660223,433375
59,2022-03-08,Tuesday,262,sweet,207473,9767,0.0470760050705393,1,5,18,31,28,15,2,98,100,4.275510204081633,1,0,2,605,1.140896642056177,32311923
60,2022-03-09,Wednesday,263,month,201799,9435,0.0467544437782149,1,5,26,37,22,8,1,99,100,3.98989898989899,0,0,1,465,1.0492416645392235,123027963
61,2022-03-10,Thursday,264,lapse,208884,9960,0.0476819670247601,0,8,31,34,19,7,1,99,100,3.8585858585858586,0,0,2,595,1.0445636178420212,1459542
62,2022-03-11,Friday,265,watch,226349,12400,0.0547826586377673,1,6,14,18,17,24,20,80,100,4.45,0,0,1,453,1.3407087677791922,92006970
63,2022-03-12,Saturday,266,today,192049,9353,0.0487011127368536,1,7,29,35,20,7,1,99,100,3.878787878787879,0,1,2,527,1.0662189142884353,239271204
64,2022-03-13,Sunday,267,focus,179436,8937,0.0498060589848191,1,4,23,36,24,10,1,98,99,4.1020408163265305,0,0,2,382,1.064163904039485,65626732
65,2022-03-14,Monday,268,smelt,185406,9373,0.0505539195063805,0,5,19,33,28,13,2,98,100,4.255102040816326,0,0,1,559,1.0720115032298205,301053
66,2022-03-15,Tuesday,269,tease,202855,10024,0.0494146064923221,1,16,32,30,16,6,1,101,102,3.613861386138614,1,0,3,732,1.1342577023065097,2019275
67,2022-03-16,Wednesday,270,cater,217856,11234,0.0515661721504112,1,7,19,22,19,18,15,86,101,4.22093023255814,0,0,2,667,1.2886008528334914,2092828
68,2022-03-17,Thursday,271,movie,169071,8847,0.0523271288393633,1,5,18,30,26,16,3,96,99,4.28125,0,0,3,491,1.1610261714678671,158421100
69,2022-03-18,Friday,272,saute,179830,9304,0.0517377523216371,1,8,31,34,19,6,1,99,100,3.808080808080808,0,0,3,614,1.060557959467207,546457
70,2022-03-19,Saturday,273,allow,156311,8515,0.0544747330642117,0,5,21,32,26,14,3,98,101,4.23469387755102,1,0,2,540,1.0954546200808106,67052567
71,2022-03-20,Sunday,274,renew,154987,8417,0.0543077806525708,0,4,20,33,27,13,2,97,99,4.257731958762887,1,0,2,607,1.057894724318788,6561081
72,2022-03-21,Monday,275,their,173636,9200,0.0529844041558202,2,14,36,30,13,4,0,99,99,3.505050505050505,0,0,2,608,1.0765989975332708,782849411
73,2022-03-22,Tuesday,276,slosh,160161,8807,0.0549884179044836,0,2,19,36,27,13,2,97,99,4.309278350515464,1,0,1,480,0.9985641727285598,51634
74,2022-03-23,Wednesday,277,purge,156785,8555,0.0545651688618171,1,4,22,35,26,11,2,99,101,4.151515151515151,0,0,2,487,1.076504222323128,1366135
75,2022-03-24,Thursday,278,chest,169066,9318,0.0551145706410514,1,14,35,31,14,5,1,100,101,3.58,0,0,1,532,1.078702924812944,13516414
76,2022-03-25,Friday,279,depot,150197,8562,0.0570051332583207,0,5,29,36,20,7,1,97,98,3.948453608247423,0,0,2,554,0.9986706010979244,9688338
77,2022-03-26,Saturday,280,epoxy,149507,9376,0.0627127826790718,0,2,13,31,33,18,3,97,100,4.536082474226804,0,2,2,439,1.0057756474442083,1908076
78,2022-03-28,Monday,282,found,173696,10613,0.0611010040530582,1,6,17,22,20,21,14,87,101,4.344827586206897,0,0,2,364,1.2849937269572411,232005894
79,2022-03-29,Tuesday,283,shall,149070,8494,0.0569799423089823,0,3,17,30,28,17,4,95,99,4.410526315789474,1,0,1,532,1.071101123950737,191963867
80,2022-03-30,Wednesday,284,stove,158139,9318,0.0589228463566862,0,5,16,24,27,21,6,93,99,4.462365591397849,0,0,2,550,1.1691292576878056,3914849
81,2022-03-31,Thursday,285,lowly,135219,8469,0.0626317307478978,0,2,9,26,32,24,8,93,101,4.720430107526882,1,1,1,441,1.0198628560326346,543486
82,2022-04-01,Friday,286,snout,144648,8913,0.0616185498589679,1,4,19,27,26,18,5,95,100,4.336842105263158,0,0,2,491,1.17527623911451,258314
83,2022-04-02,Saturday,287,trope,155079,9315,0.0600661598282165,1,16,33,28,15,6,1,99,100,3.585858585858586,0,0,2,632,1.1371602146309088,109419
84,2022-04-03,Sunday,288,fewer,124532,7931,0.063686442038994,0,2,10,24,32,26,6,94,100,4.74468085106383,1,0,2,556,1.0410323253383036,10792786
85,2022-04-04,Monday,289,shawl,129651,7943,0.0612644715428342,0,3,16,31,30,16,3,96,99,4.416666666666667,0,0,1,451,1.0474837574980445,1011728
86,2022-04-05,Tuesday,290,natal,121356,7702,0.0634661656613599,0,2,14,32,32,17,3,97,100,4.494845360824742,1,0,2,637,1.0064094731435695,3010028
87,2022-04-06,Wednesday,291,comma,117856,7560,0.0641460765680152,0,2,13,33,33,17,3,98,101,4.510204081632653,1,0,2,466,0.992264961725977,2711522
88,2022-04-07,Thursday,292,foray,117761,7575,0.06432520104279,0,2,14,31,31,19,4,97,101,4.525773195876289,0,1,2,510,1.0263817290435995,499808
89,2022-04-08,Friday,293,scare,141158,9010,0.0638291843182816,1,12,23,26,21,13,4,96,100,3.96875,0,0,2,624,1.262051281644292,2972708
90,2022-04-09,Saturday,294,stair,134210,8537,0.063609269055957,2,21,36,26,11,4,1,100,101,3.35,0,0,2,601,1.107925990308017,2012524
91,2022-04-10,Sunday,295,black,126241,7894,0.0625311903422818,1,10,31,34,18,6,1,100,101,3.76,0,0,1,402,1.0781465577554845,244690155
92,2022-04-11,Monday,296,squad,109828,7236,0.0658848381105,0,3,20,33,27,14,2,97,99,4.298969072164948,0,1,2,363,1.0469883018439643,8744772
93,2022-04-12,Tuesday,297,royal,114907,7275,0.063312069760763,1,5,24,36,23,9,1,98,99,4.040816326530612,0,1,2,588,1.068265496187951,45407189
94,2022-04-13,Wednesday,298,chunk,123255,7835,0.0635674009167985,1,4,29,42,18,5,1,99,100,3.878787878787879,0,0,1,320,0.9563475053369395,2371231
95,2022-04-14,Thursday,299,mince,113448,7356,0.0648402792468796,0,6,24,35,24,10,1,99,100,4.08080808080808,0,0,2,489,1.060557959467207,328039
96,2022-04-15,Friday,300,shame,129991,8522,0.0655583848112561,1,11,22,25,21,15,5,95,100,4.042105263157895,0,0,2,545,1.280754625200432,6785296
97,2022-04-16,Saturday,301,cheek,107987,7035,0.0651467306249826,0,3,19,40,28,9,1,99,100,4.212121212121212,1,0,2,535,0.9563475053369395,2681029
98,2022-04-17,Sunday,302,ample,106681,7008,0.0656911727486619,0,4,20,35,27,11,2,97,99,4.216494845360825,0,0,2,564,1.027726989738689,3187842
99,2022-04-18,Monday,303,flair,112383,7341,0.0653212674514828,1,8,30,36,18,6,1,99,100,3.808080808080808,0,0,2,532,1.0509905637955204,1924190
100,2022-04-19,Tuesday,304,foyer,108899,8198,0.0752807647453144,0,2,10,19,19,23,26,73,99,4.698630136986301,0,1,2,534,1.1309461611260434,1042532
101,2022-04-20,Wednesday,305,cargo,102007,6796,0.0666228788220416,0,5,20,34,27,12,2,98,100,4.214285714285714,0,0,2,540,1.0618620533798933,9748668
102,2022-04-21,Thursday,306,oxide,97955,6960,0.0710530345566841,0,2,11,30,33,21,4,97,101,4.618556701030927,0,1,3,473,1.0096779007583747,5321340
103,2022-04-22,Friday,307,plant,119232,7731,0.0648399758454106,2,19,39,28,10,3,0,101,101,3.3366336633663365,0,0,1,541,1.0462306479776664,53247607
104,2022-04-23,Saturday,308,olive,95562,6482,0.0678303091186873,1,6,25,34,23,10,1,99,100,4.03030303030303,0,0,3,548,1.1051262138673013,9298184
105,2022-04-24,Sunday,309,inert,97452,6743,0.0691930386241431,0,7,27,34,22,9,1,99,100,3.98989898989899,0,0,2,624,1.0683221007772332,935898
106,2022-04-25,Monday,310,askew,91548,6549,0.0715362432822126,0,3,13,29,32,19,4,96,100,4.53125,0,0,2,488,1.050328569623176,473664
107,2022-04-26,Tuesday,311,heist,103153,6830,0.0662123253807451,1,13,32,31,16,6,1,99,100,3.6666666666666665,0,0,2,562,1.1101005505463153,419629
108,2022-04-27,Wednesday,312,shown,98967,6564,0.0663251386825911,0,6,26,36,22,8,1,98,99,4.0,0,0,1,398,1.0301575072754257,68755779
109,2022-04-28,Thursday,313,zesty,88974,6315,0.0709757906804234,0,2,12,27,30,22,7,93,100,4.623655913978495,0,2,1,457,1.046386290383042,210124
110,2022-04-30,Saturday,315,larva,77991,5749,0.0737136336243925,0,2,10,25,35,23,4,95,99,4.705263157894737,1,0,2,581,1.014356775296556,462298
111,2022-05-01,Sunday,316,forgo,77658,5699,0.0733858713847897,0,1,9,26,37,23,3,96,99,4.75,1,0,2,477,0.9574271077563381,340426
112,2022-05-02,Monday,317,story,95643,6530,0.0682747299854667,1,10,23,29,24,11,2,98,100,4.0,0,1,1,533,1.1952286093343936,138433809
113,2022-05-03,Tuesday,318,hairy,85817,5941,0.0692287075987275,1,8,24,33,23,10,1,99,100,4.0,0,1,2,514,1.1370704872299224,19060619
114,2022-05-04,Wednesday,319,train,107750,7243,0.0672204176334106,6,26,32,22,10,3,0,99,99,3.1313131313131315,0,0,2,600,1.1776235670133068,31816971
115,2022-05-05,Thursday,320,homer,85979,6313,0.0734249060817176,0,3,16,26,24,19,12,88,100,4.454545454545454,0,0,2,565,1.1171096115858643,4281428
116,2022-05-06,Friday,321,badge,76292,5482,0.0718555025428616,0,4,20,35,26,12,2,97,99,4.22680412371134,0,0,2,471,1.040471291302279,6145138
117,2022-05-07,Saturday,322,midst,74458,5233,0.0702812323726127,0,3,25,39,24,9,1,100,101,4.11,0,0,1,420,0.9787236586493656,3381410
118,2022-05-08,Sunday,323,canny,72518,5256,0.0724785570479053,0,2,10,30,34,20,4,96,100,4.625,1,1,1,453,0.9921567416492215,209480
119,2022-05-09,Monday,324,shine,88932,6146,0.0691089821436603,1,14,32,30,17,6,1,100,101,3.66,0,0,2,518,1.1244554237496478,5881862
120,2022-05-10,Tuesday,325,gecko,74412,5489,0.0737649841423426,0,2,16,38,29,12,2,97,99,4.34020618556701,0,0,2,468,0.9620274760650066,1230211
121,2022-05-11,Wednesday,326,farce,79446,5688,0.0715958009213805,0,9,26,32,21,9,1,97,98,3.948453608247423,0,0,2,572,1.1064118099553304,727546
122,2022-05-12,Thursday,327,slung,75673,5419,0.0716107462370991,0,2,16,37,31,13,2,99,101,4.373737373737374,0,0,1,394,0.9701177538216541,253265
123,2022-05-13,Friday,328,tipsy,77585,5522,0.0711735515885802,0,6,33,38,17,5,1,99,100,3.8181818181818175,0,1,1,432,0.9573072120564432,279464
124,2022-05-14,Saturday,329,metal,73225,5290,0.0722430863776032,1,10,31,34,18,7,1,101,102,3.782178217821782,0,0,2,631,1.0954809097761369,56181783
125,2022-05-15,Sunday,330,yield,67115,4963,0.0739477017060269,0,4,16,29,29,18,4,96,100,4.427083333333333,0,1,2,503,1.096821085252994,15022494
126,2022-05-16,Monday,331,delve,68349,5179,0.0757728715855389,0,2,14,32,33,16,2,97,99,4.484536082474227,1,0,2,551,0.9960064801455206,640909
127,2022-05-17,Tuesday,332,being,70722,5142,0.072707219818444,0,4,22,37,26,10,1,99,100,4.161616161616162,0,0,2,445,1.0121191959495233,242783091
128,2022-05-18,Wednesday,333,scour,73933,5544,0.0749868123841856,0,8,34,35,17,5,1,99,100,3.767676767676768,0,0,2,480,0.9931918022854025,411478
129,2022-05-19,Thursday,334,glass,70920,5162,0.0727862380146644,0,4,19,33,27,14,3,97,100,4.288659793814433,1,0,1,489,1.0645047528291425,63559754
130,2022-05-20,Friday,335,gamer,69884,5238,0.0749527788907332,1,4,17,28,26,18,6,94,100,4.361702127659575,0,0,2,574,1.1655613553023267,3144985
131,2022-05-21,Saturday,336,scrap,66814,4973,0.0744305085760469,1,9,28,34,20,8,1,100,101,3.87,0,0,1,504,1.1104503590885997,3757085
132,2022-05-22,Sunday,337,money,67909,4928,0.0725677008938432,1,7,26,36,21,8,1,99,100,3.939393939393939,0,1,2,508,1.0807608787955763,190205072
133,2022-05-23,Monday,338,hinge,66431,4906,0.0738510635095061,0,5,25,37,22,9,2,98,100,4.051020408163265,0,0,2,484,1.0239225195854027,1758893
134,2022-05-24,Tuesday,339,album,63380,4809,0.0758756705585358,0,5,26,35,24,9,1,99,100,4.0606060606060606,0,0,2,414,1.0329733666096552,77914316
135,2022-05-25,Wednesday,340,vouch,62723,4835,0.0770849608596527,0,2,9,25,33,24,6,93,99,4.731182795698925,0,0,2,357,1.017479332660956,388963
136,2022-05-26,Thursday,341,asset,63188,4733,0.0749034626827878,0,7,28,34,21,8,1,98,99,3.948979591836735,1,0,2,636,1.0533953749234128,18178753
137,2022-05-27,Friday,342,tiara,63846,4842,0.0758387369608119,0,8,36,33,17,6,1,100,101,3.77,1,0,3,673,1.0183810681665288,923335
138,2022-05-28,Saturday,343,crept,60069,4562,0.0759459954385789,0,4,27,38,22,7,1,98,99,4.010204081632653,0,0,1,571,0.9741023912067811,588735
139,2022-05-29,Sunday,344,bayou,56839,4435,0.0780274107566987,0,6,17,33,29,13,2,98,100,4.26530612244898,0,1,3,438,1.0837484120287146,1397958
140,2022-05-30,Monday,345,atoll,60969,4741,0.0777608292738932,0,6,28,36,21,8,1,99,100,3.9696969696969697,1,0,2,638,1.029411378876547,908471
141,2022-05-31,Tuesday,346,manor,62768,4802,0.0765039510578638,0,6,27,34,21,10,2,98,100,4.020408163265306,0,0,2,557,1.0688501530753876,7084688
142,2022-06-01,Wednesday,347,creak,63241,4797,0.0758526905014152,0,5,21,32,25,14,3,97,100,4.22680412371134,0,0,2,574,1.098313183126934,124122
143,2022-06-02,Thursday,348,showy,61278,4770,0.0778419661216097,0,2,16,37,30,13,2,98,100,4.36734693877551,0,1,1,372,0.9729793829436911,294798
144,2022-06-03,Friday,349,peach,65431,4957,0.0757591967110391,1,13,38,32,13,3,0,100,100,3.52,0,0,2,537,1.0047885349664376,3938068
145,2022-06-04,Saturday,350,froth,58263,4432,0.076068860168546,0,5,22,35,25,11,1,98,99,4.153061224489796,0,0,1,491,1.0531976655795312,278469
146,2022-06-05,Sunday,351,depth,56738,4329,0.0762980718389791,0,6,28,39,20,6,1,99,100,3.919191919191919,0,0,1,491,0.9814107314336259,31879926
147,2022-06-06,Monday,352,gloom,58478,4548,0.0777728376483463,0,2,14,35,35,13,1,99,100,4.434343434343434,1,0,2,478,0.9551732209671981,878018
148,2022-06-07,Tuesday,353,flood,58991,4440,0.0752657184994321,0,3,20,40,28,8,1,99,100,4.181818181818182,1,0,2,459,0.9466969304129278,13979267
149,2022-06-08,Wednesday,354,trait,61026,4607,0.075492413069839,0,6,22,35,24,11,2,98,100,4.122448979591836,1,0,2,644,1.0715743341081694,1705417
150,2022-06-09,Thursday,355,girth,60020,4665,0.0777240919693435,0,6,23,33,23,12,3,97,100,4.123711340206185,0,0,1,478,1.0959882981424638,492919
151,2022-06-10,Friday,356,piety,55376,4324,0.0780843686795723,0,4,25,41,22,7,1,99,100,4.03030303030303,0,1,2,528,0.9582659576267816,595389
152,2022-06-11,Saturday,357,goose,51958,4087,0.0786596866700027,0,2,12,28,32,21,5,95,100,4.610526315789474,1,0,3,579,1.0289978450399946,3739382
153,2022-06-12,Sunday,358,float,56684,4323,0.0762649072048549,1,12,30,32,18,6,1,99,100,3.727272727272727,0,0,2,560,1.1084449186770837,8808655
154,2022-06-13,Monday,359,donor,53802,4142,0.076985985651091,0,3,27,38,23,7,1,98,99,4.040816326530612,1,0,2,530,0.9574452331216246,7096675
155,2022-06-14,Tuesday,360,atone,59968,4762,0.0794090181430096,2,16,34,29,14,4,1,99,100,3.494949494949495,0,0,3,681,1.1043873695835644,152901
156,2022-06-15,Wednesday,361,primo,55989,4391,0.0784261194163139,0,3,22,38,25,10,2,98,100,4.173469387755102,0,0,2,477,0.9900062894469525,912120
157,2022-06-16,Thursday,362,apron,53430,4112,0.0769605090772974,0,7,30,38,19,5,1,99,100,3.8484848484848486,0,0,2,564,0.9781825691859983,1617357
158,2022-06-17,Friday,363,blown,54665,4251,0.0777645659928656,0,6,23,35,26,10,1,100,101,4.11,0,0,1,385,1.0573079021741965,4229918
159,2022-06-18,Saturday,364,cacao,47205,4101,0.0868763902129011,0,1,9,27,36,23,4,96,100,4.739583333333333,2,0,3,585,0.9600867112170419,331714
160,2022-06-19,Sunday,365,loser,55359,4399,0.0794631405914124,1,10,28,32,19,8,2,98,100,3.836734693877551,0,0,2,639,1.1311352212694707,2529180
161,2022-06-20,Monday,366,input,50484,3950,0.0782426115204817,0,5,30,38,21,6,1,100,101,3.93,0,0,2,436,0.9721625378505386,57191675
162,2022-06-21,Tuesday,367,gloat,53342,4194,0.0786247234824341,0,8,21,31,26,12,2,98,100,4.13265306122449,0,0,2,578,1.1306288218043579,113594
163,2022-06-22,Wednesday,368,awful,47645,3861,0.0810368349249659,0,5,21,33,27,12,2,98,100,4.204081632653061,0,0,2,394,1.0686553029866162,5217370
164,2022-06-23,Thursday,369,brink,53111,4118,0.0775357270621905,0,4,22,41,24,7,1,98,99,4.081632653061225,0,0,1,379,0.9548316379828232,1484879
165,2022-06-24,Friday,370,smite,50617,3991,0.0788470276784479,0,6,23,35,24,11,2,99,101,4.111111111111111,0,0,2,548,1.0720403362764928,270393
166,2022-06-25,Saturday,371,beady,46089,3670,0.0796285447720714,0,3,19,39,29,10,1,100,101,4.24,0,1,2,478,0.9707728879609278,87974
167,2022-06-26,Sunday,372,rusty,50450,3954,0.0783746283448959,0,9,37,34,13,5,1,98,99,3.673469387755102,0,1,1,465,0.9874261553798322,2780895
168,2022-06-27,Monday,373,retro,47986,3848,0.0801900554328345,0,6,24,35,24,9,1,98,99,4.061224489795919,1,0,2,702,1.0479944552218585,8000179
169,2022-06-28,Tuesday,374,droll,47312,3844,0.0812478863713222,0,2,16,31,31,17,3,97,100,4.463917525773196,1,0,1,537,1.0260710337953598,196087
170,2022-06-29,Wednesday,375,gawky,45645,3957,0.0866907656917515,0,1,5,22,33,28,10,89,99,4.921348314606742,0,1,1,331,0.9388580094045117,31136
171,2022-06-30,Thursday,376,hutch,44212,3758,0.0849995476341264,0,1,12,28,28,21,9,90,99,4.622222222222222,1,0,1,397,1.0173798348675196,1373107
